,0,1
dataset,synt_iter0_inf_aug,synt_iter6_inf_aug
TeddyKNN2_f_diff,['3'],"['0', '2', '3', '4']"
TeddyKNN3_f_diff,['3'],"['0', '2', '3', '4']"
TeddyKNN4_f_diff,['1'],['3']
TeddyKNN5_f_diff,['3'],"['3', '4']"
TeddyKNN2_diff_cluster,0,0
TeddyKNN3_diff_cluster,0,0
TeddyKNN4_diff_cluster,0,0
TeddyKNN5_diff_cluster,0,0
TeddyKNN2_coverage,0.04081632653061224,0.04081632653061224
TeddyKNN3_coverage,0.061224489795918366,0.061224489795918366
TeddyKNN4_coverage,0.08163265306122448,0.08163265306122448
TeddyKNN5_coverage,0.10204081632653061,0.10204081632653061
TeddyKNN2_local_sim,0.5725933286300625,0.5693862123675286
TeddyKNN3_local_sim,0.5290241034797187,0.5693862123675286
TeddyKNN4_local_sim,0.5238768646963883,0.4560158714225944
TeddyKNN5_local_sim,0.4950613060785981,0.45809033536373966
TeddyKNN2_self_sim,0.852494183866115,0.6329808937700805
TeddyKNN3_self_sim,0.6035044127016824,0.5650824264133794
TeddyKNN4_self_sim,0.5257008035252269,0.48605711222816184
TeddyKNN5_self_sim,0.5218473952889365,0.4873709724605695
TeddyKNN2_best_score,0.7646004310262802,0.6240200688126559
TeddyKNN3_best_score,0.4720414347115039,0.5561216014559548
TeddyKNN4_best_score,0.38859330167602973,0.3587088292518779
TeddyKNN5_best_score,0.3564216198976374,0.36183911324052576
TeddyKNN2_conciseness,4,1
TeddyKNN3_conciseness,4,1
TeddyKNN4_conciseness,4,4
TeddyKNN5_conciseness,4,3
TeddyKNN2_f_sim,"['0', '1', '2', '4']",['1']
TeddyKNN3_f_sim,"['0', '1', '2', '4']",['1']
TeddyKNN4_f_sim,"['0', '2', '3', '4']","['0', '1', '2', '4']"
TeddyKNN5_f_sim,"['0', '1', '2', '4']","['0', '1', '2']"
TeddyKNN2_shape,"(2, 1)","(2, 4)"
TeddyKNN3_shape,"(3, 1)","(3, 4)"
TeddyKNN4_shape,"(4, 1)","(4, 1)"
TeddyKNN5_shape,"(5, 1)","(5, 2)"
TeddyKNN2_sim_cluster,0,0
TeddyKNN3_sim_cluster,0,0
TeddyKNN4_sim_cluster,0,0
TeddyKNN5_sim_cluster,0,0
TeddyKNN2_local_diff,0.9804870814698973,0.6583470373249531
TeddyKNN3_local_diff,0.9804870814698973,0.6583470373249531
TeddyKNN4_local_diff,0.9809843665455854,0.9033641543988783
TeddyKNN5_local_diff,0.9804870814698973,0.8236221945837834
