,0
dataset,synt_iter0_inf_aug
bf1_shape,"(1, 2)"
bf2_shape,"(2, 2)"
bf3_shape,"(3, 2)"
bf4_shape,"(4, 2)"
bf5_shape,"(5, 2)"
bf1_best_ld,0.49430768663144925
bf2_best_ld,0.49285711241515406
bf3_best_ld,0.49430768663144925
bf4_best_ld,0.49285711241515406
bf5_best_ld,0.49285711241515406
bf1_f_diff,"['0', '1']"
bf2_f_diff,"['0', '1']"
bf3_f_diff,"['0', '1']"
bf4_f_diff,"['0', '1']"
bf5_f_diff,"['0', '1']"
bf1_best_ss,0.0
bf2_best_ss,0.9655104668279174
bf3_best_ss,0.8653617024985722
bf4_best_ss,0.8497881750112748
bf5_best_ss,0.8331413037872706
bf1_best_ls,0.9330126970453873
bf2_best_ls,0.8275141755832746
bf3_best_ls,0.8275141755832746
bf4_best_ls,0.782727908233297
bf5_best_ls,0.782727908233297
bf1_f_sim,"['2', '3', '4']"
bf2_f_sim,"['2', '3', '4']"
bf3_f_sim,"['2', '3', '4']"
bf4_f_sim,"['2', '3', '4']"
bf5_f_sim,"['2', '3', '4']"
bf1_best_score,0.45911317367924415
bf2_best_score,1.34098385652665
bf3_best_score,1.2597926812463158
bf4_best_score,1.2212916238906422
bf5_best_score,1.2250529159319439
bf1_best_cov,0.02040816326530612
bf2_best_cov,0.04081632653061224
bf3_best_cov,0.061224489795918366
bf4_best_cov,0.08163265306122448
bf5_best_cov,0.10204081632653061
