,0
dataset,synt_iter0_inf_aug
bf1_f_diff,"['0', '1']"
bf2_f_diff,"['0', '1']"
bf3_f_diff,"['0', '1']"
bf4_f_diff,"['0', '1']"
bf5_f_diff,"['0', '1']"
bf1_best_gs,0.0
bf2_best_gs,0.9655104668279174
bf3_best_gs,0.9366544096887965
bf4_best_gs,0.9260824686703504
bf5_best_gs,0.9375841722138839
bf1_best_score,0.45911317367924415
bf2_best_score,1.3592285975358478
bf3_best_score,1.436583909898653
bf4_best_score,1.4464201321455128
bf5_best_score,1.4783299989543526
bf1_f_sim,"['2', '3', '4']"
bf2_f_sim,"['2', '3', '4']"
bf3_f_sim,"['2', '3', '4']"
bf4_f_sim,"['2', '3', '4']"
bf5_f_sim,"['2', '3', '4']"
bf1_best_ld,0.49430768663144925
bf2_best_ld,0.49285711241515406
bf3_best_ld,0.49430768663144925
bf4_best_ld,0.49430768663144925
bf5_best_ld,0.49430768663144925
bf1_best_cov,0.02040816326530612
bf2_best_cov,0.04081632653061224
bf3_best_cov,0.061224489795918366
bf4_best_cov,0.08163265306122448
bf5_best_cov,0.10204081632653061
bf1_best_ls,0.9330126970453873
bf2_best_ls,0.8457589165924723
bf3_best_ls,0.9330126970453873
bf4_best_ls,0.9330126970453873
bf5_best_ls,0.9330126970453873
bf1_shape,"(1, 2)"
bf2_shape,"(2, 2)"
bf3_shape,"(3, 2)"
bf4_shape,"(4, 2)"
bf5_shape,"(5, 2)"
