,0
dataset,arcene
data_shape,"(200, 99)"
mc_score,0.7129744728023778
mc_global_sim,0.0012210817471864006
mc_local_sim,0.019123140660198042
mc_local_diff,6.305536581349068e-05
mc_coverage,0.09748743718592966
mc_features,"['V9978' 'V9992' 'V9967' 'V9940' 'V9969' 'V9906' 'V9916' 'V9958' 'V9976'
 'V9942' 'V9914' 'V9975' 'V9993' 'V9915' 'V9943' 'V9980' 'V9964' 'V9922'
 'V9907' 'V9986' 'V9983' 'V9996' 'V9912' 'V9910' 'V9974' 'V9954' 'V9902'
 'V9949' 'V9959' 'V9904' 'V9932' 'V9965' 'V9977' 'V9930' 'V9955' 'V9905'
 'V9935' 'V9933' 'V9908' 'V9947' 'V9999' 'V9988' 'V9903' 'V9926' 'V9939'
 'V9931' 'V9946' 'V9966' 'V9948' 'V9929' 'V9952' 'V9968' 'V9928' 'V9924'
 'V9950' 'V9936' 'V9972' 'V9994' 'V9957' 'V9984' 'V9938' 'V9917' 'V9951'
 'V10000' 'V9990' 'V9927' 'V9989' 'V9985' 'V9921' 'V9961' 'V9997' 'V9973'
 'V9982' 'V9909' 'V9987' 'V9911' 'V9979' 'V9998' 'V9953' 'V9913' 'V9944'
 'V9995' 'V9956' 'V9941' 'V9970' 'V9923' 'V9925' 'V9981' 'V9920' 'V9934'
 'V9962' 'V9971' 'V9991' 'V9937' 'V9960' 'V9945' 'V9963' 'V9919' 'V9918']"
mc_shape,"(20, 99)"
mc_solving_time,60.262364299999994
